Rank,Agent,KD,K,D,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Astra,1.07,15.9,14.9,55.40%,2.80%,213,10.10%,9384
2,Viper,1.02,15.2,15,52.20%,5%,210,10.50%,17187
3,Sage,1.01,15.3,15.1,52.10%,11.30%,206,10.50%,38454
4,Sova,1.05,15.4,14.7,51.60%,11.40%,216,8.60%,38811
5,Reyna,1.15,18.4,16,51.50%,13.70%,250,16.40%,46716
6,Jett,1.14,18.6,16.4,51.10%,19.30%,253,20.60%,65943
7,Yoru,1.06,16,15,50.70%,1.10%,221,14.90%,3825
8,Omen,0.99,15.3,15.4,48.80%,8.70%,205,11%,29682
9,Killjoy,1.05,15.7,14.9,48.50%,5.10%,212,9.30%,17238
10,Phoenix,1.06,17.3,16.2,47.10%,3.10%,233,16.40%,10506
11,Raze,1.04,17.3,16.7,46.50%,9.70%,247,15.90%,32997
12,Skye,0.99,15.8,15.9,45.60%,3.60%,208,10.20%,12189
13,Brimstone,0.97,15.3,15.7,45.40%,1.60%,210,11.70%,5508
14,Cypher,1.05,16,15.2,43.60%,3.30%,212,9.80%,11118
15,Breach,0.75,11.9,15.8,37.50%,0.50%,167,13.10%,1632
